Ship_Status,NDR_Remarks,Total_Attempts,AWB
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196696
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000197353
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003361252
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196377
RTO,Rejected,Attempt 1,STLC8000167722
RTO,Rejected,Attempt 1,STLC8000196604
Exception,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 2,STLC8000196327
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000192259
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364012
RTO,Rejected,Attempt 3,STLC8000197026
RTO,Rejected,Attempt 2,STLC8000190384
Exception,Undelivered due to shipment damaged,Attempt 2,STLC8000188025
RTO,Cancelled by customer,Attempt 1,SF913021139NIM
RTO,Rejected,Attempt 1,STLC8000196665
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010822452
In Transit,CONSIGNEE NOT AVAILABLE;CANT DELIVER,Attempt 3,77882322545
RTO,REFUSAL CONFIRMATION CODE VERIFIED,Attempt 1,77882322663
RTO,REFUSAL CONFIRMATION CODE VERIFIED,Attempt 1,77882322593
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77882330245
In Transit,22,Attempt 1,14227883279326
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010822430
Exception,Maximum attempts reached,Attempt 2,22679010822393
Out For Delivery,Recipient wants open delivery,Attempt 1,22679010822426
RTO,Recipient wants open delivery,Attempt 3,23645417577264
RTO,Consignee Unavailable,Attempt 2,23645417577290
Delivered,Consignee refused to accept/order cancelled,Attempt 1,23645417577286
RTO,Consignee refused to accept/order cancelled,Attempt 3,23645417577275
Delivered,Consignee refused to accept/order cancelled,Attempt 1,23645417577312
Exception,Maximum attempts reached,Attempt 3,22679010822323
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010822301
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010822286
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010822290
RTO,Consignee refused to accept/order cancelled,Attempt 1,23645417577345
RTO,Consignee refused to accept/order cancelled,Attempt 2,23645417577356
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010822242
Exception,NDR Call - FE remark correct,Attempt 1,22679010822231
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010822220
Exception,Delivery Rescheduled by Customer,Attempt 1,23645417577360
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010822205
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010822194
Out For Delivery,Consignee Unavailable,Attempt 1,22679010822183
RTO,Maximum attempts reached,Attempt 2,22679010822172
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010822150
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010822146
Delivered,Consignee Unavailable,Attempt 1,22679010822135
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010822124
Exception,Consignee Unavailable,Attempt 2,22679010822113
In Transit,Consignee Unavailable,Attempt 3,23645417577382
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010822032
RTO,IVR call not received by customer,Attempt 3,23645417577393
RTO,Maximum attempts reached,Attempt 2,22679010821995
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821984
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821962
RTO,Maximum attempts reached,Attempt 3,22679010821951
Exception,Consignee refused to accept/order cancelled,Attempt 2,23645417577430
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821892
RTO,NDR Call - FE remark correct,Attempt 1,22679010821903
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 2,22679010821881
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010821870
Exception,Consignee Unavailable,Attempt 3,22679010821855
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010821844
RTO,Consignee Unavailable,Attempt 2,22679010821800
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821796
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010821785
RTO,Consignee Unavailable,Attempt 1,23645417577485
Exception,NDR Call - FE remark correct,Attempt 3,22679010821763
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80398393611
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80398393633
In Transit,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 3,80398393655
Exception,CONSIGNEE OUT OF STATION,Attempt 3,80398393821
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80398393795
In Transit,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 2,80398393832
Exception,NEED DEPARTMENT NAME/EXTENTION NUMBER,Attempt 1,80398393854
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821726
In Transit,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80398393876
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 3,412003363869
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80398393935
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80398393913
RTO,Consignee to collect from branch,Attempt 1,23645417577835
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010821693
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80398394123
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 3,80398394134
RTO,CONSIGNEE NOT AVAILABLE,Attempt 2,80398394156
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80398394182
In Transit,CONSIGNEE OUT OF STATION,Attempt 1,80398394215
Out For Delivery,Consignee Unavailable,Attempt 2,22679010821660
RTO,Maximum attempts reached,Attempt 1,22679010821656
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,80398394263
In Transit,CONSIGNEE OUT OF STATION,Attempt 1,80398394252
Exception,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 3,80398394300
RTO,CONSIGNEE NOT AVAILABLE,Attempt 1,80398394333
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80398394392
RTO,Cancelled by customer,Attempt 1,SF913026816NIM
Exception,Rejected,Attempt 1,STOC9000746078
Exception,Rejected,Attempt 1,STOC9000746930
RTO,Rejected,Attempt 2,STLC8000196270
Exception,Rejected,Attempt 2,STLC8000196986
Delivered,Undelivered due to incomplete address,Attempt 2,STLC8000197151
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000195763
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363528
RTO,Rejected,Attempt 2,STLC8000195945
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000195559
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000197445
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 3,14227883279939
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196049
Exception,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000193582
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196462
Exception,Rejected,Attempt 2,STLC8000194365
Out For Delivery,Customer Not Responding,Attempt 1,STLC8000196567
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000193171
RTO,Rejected,Attempt 2,STLC8000194555
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000193158
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000192281
RTO,Rejected,Attempt 2,STLC8000195876
Exception,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000196280
Out For Delivery,Request for reschedule,Attempt 1,STLC8000196641
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000197272
RTO,Rejected,Attempt 2,STLC8000196427
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196275
RTO,Rejected,Attempt 2,STLC8000197195
RTO,Rejected,Attempt 2,STLC8000195550
RTO,Rejected,Attempt 2,STLC8000196922
RTO,Rejected,Attempt 2,STLC8000196435
RTO,Rejected,Attempt 2,STLC8000196442
Out For Delivery,Request for reschedule,Attempt 1,STLC8000196285
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197417
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196139
In Transit,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000195835
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000196022
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000196613
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000196240
Exception,Rejected,Attempt 2,STLC8000196669
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196355
Exception,Customer Not Responding,Attempt 1,STLC8000197366
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196905
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194737
RTO,Rejected,Attempt 2,STLC8000186972
RTO,Rejected,Attempt 2,STLC8000196164
RTO,Rejected,Attempt 2,STLC8000195828
Out For Delivery,210 - Shipment attempted - Customer refused to accept,Attempt 2,412003363977
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196875
RTO,Rejected,Attempt 2,STLC8000196447
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000195551
RTO,Rejected,Attempt 2,STLC8000196891
RTO,Rejected,Attempt 2,STLC8000196398
Exception,Rejected,Attempt 2,STLC8000196434
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000195435
RTO,Rejected,Attempt 2,STLC8000189894
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003361117
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196237
RTO,Rejected,Attempt 2,STLC8000196362
Exception,Rejected,Attempt 2,STLC8000196844
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196013
RTO,Rejected,Attempt 2,STLC8000195322
Exception,Rejected,Attempt 2,STLC8000197038
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196498
RTO,Rejected,Attempt 2,STLC8000196991
Delivered,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 1,STLC8000197308
RTO,Rejected,Attempt 2,STLC8000196789
Exception,Rejected,Attempt 2,STLC8000196822
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196708
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000197106
Exception,Rejected,Attempt 2,STLC8000194622
RTO,Rejected,Attempt 2,STLC8000196487
Exception,Rejected,Attempt 2,STLC8000196497
RTO,Rejected,Attempt 2,STLC8000196339
RTO,Rejected,Attempt 2,STLC8000196302
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003361671
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000193473
RTO,Rejected,Attempt 2,STLC8000197120
Delivered,Request for reschedule,Attempt 1,STLC8000195864
RTO,Rejected,Attempt 2,STLC8000195598
RTO,Rejected,Attempt 2,STLC8000197346
Exception,Rejected,Attempt 2,STLC8000194682
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196043
RTO,Rejected,Attempt 2,STLC8000196866
Exception,Rejected,Attempt 2,STLC8000196264
RTO,Rejected,Attempt 2,STLC8000192849
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000193629
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196320
RTO,Rejected,Attempt 2,STLC8000197277
RTO,Rejected,Attempt 2,STLC8000196104
Exception,Rejected,Attempt 2,STLC8000196903
Exception,Rejected,Attempt 1,STLC8000196946
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000194472
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196257
RTO,Rejected,Attempt 2,STLC8000197604
Exception,Rejected,Attempt 2,STLC8000196516
RTO,Rejected,Attempt 2,STLC8000189791
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000192955
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000196670
RTO,Rejected,Attempt 2,STLC8000196955
RTO,Rejected,Attempt 2,STLC8000196877
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196702
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197154
RTO,Rejected,Attempt 2,STLC8000195159
Exception,Customer Not Responding,Attempt 3,STLC8000196290
RTO,Rejected,Attempt 2,STLC8000194845
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196331
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000197518
RTO,Rejected,Attempt 2,STLC8000196681
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003363947
RTO,Rejected,Attempt 2,STLC8000197622
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196523
RTO,Customer Not Responding,Attempt 3,STLC8000192048
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000197330
RTO,Rejected,Attempt 2,STLC8000196153
RTO,Rejected,Attempt 3,STLC8000197403
RTO,Rejected,Attempt 1,STLC8000197099
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196532
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196812
RTO,Rejected,Attempt 2,STLC8000196973
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000195853
RTO,Rejected,Attempt 2,STLC8000194861
Exception,Rejected,Attempt 1,STLC8000196111
RTO,Rejected,Attempt 2,STLC8000197256
RTO,Rejected,Attempt 2,STLC8000196551
RTO,Rejected,Attempt 2,STLC8000196608
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364097
RTO,Rejected,Attempt 1,STLC8000196412
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197475
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363307
RTO,Rejected,Attempt 2,STLC8000196676
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 2,412003364289
RTO,Rejected,Attempt 2,STLC8000195959
RTO,Rejected,Attempt 2,STLC8000196346
Exception,Rejected,Attempt 2,STLC8000193091
Exception,Rejected,Attempt 2,STLC8000196981
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003361318
RTO,Rejected,Attempt 2,STLC8000187562
RTO,Rejected,Attempt 2,STLC8000197248
RTO,Rejected,Attempt 2,STLC8000191607
Exception,Rejected,Attempt 2,STLC8000196841
RTO,Rejected,Attempt 3,STLC8000197348
RTO,Rejected,Attempt 2,STLC8000193081
Delivered,Delivery attempt failed(No response from customer),Attempt 2,STLC8000197224
RTO,Rejected,Attempt 2,STLC8000196552
RTO,Rejected,Attempt 2,STLC8000196913
RTO,Rejected,Attempt 3,STLC8000192901
RTO,Rejected,Attempt 2,STLC8000194865
RTO,Rejected,Attempt 1,STLC8000194745
Delivered,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000196345
RTO,Rejected,Attempt 2,STLC8000196324
Out For Delivery,Request for reschedule,Attempt 1,STLC8000192275
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000197037
RTO,Rejected,Attempt 2,STLC8000197171
RTO,Rejected,Attempt 2,STLC8000195584
RTO,Rejected,Attempt 2,STLC8000197210
RTO,Rejected,Attempt 2,STLC8000196785
Exception,Rejected,Attempt 2,STLC8000178370
RTO,Rejected,Attempt 2,STLC8000196090
Out For Delivery,Unable to attempt delivery due to operational issues,Attempt 2,STLC8000190061
RTO,Rejected,Attempt 2,STLC8000195409
RTO,Rejected,Attempt 1,STLC8000197158
RTO,Rejected,Attempt 2,STLC8000196945
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196123
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 3,412003363056
RTO,Rejected,Attempt 2,STLC8000197149
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197575
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196502
Exception,Rejected,Attempt 2,STLC8000195684
RTO,Rejected,Attempt 2,STLC8000197742
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000195706
Exception,Rejected,Attempt 3,STLC8000197495
RTO,Rejected,Attempt 2,STLC8000196261
RTO,Rejected,Attempt 2,STLC8000194794
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000196685
RTO,Request for reschedule,Attempt 3,STLC8000196246
RTO,Rejected,Attempt 2,STLC8000193329
Delivered,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 2,STLC8000197413
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197071
Exception,Rejected,Attempt 2,STLC8000197480
RTO,Rejected,Attempt 2,STLC8000195819
RTO,Rejected,Attempt 2,STLC8000197612
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194580
RTO,Rejected,Attempt 2,STLC8000196731
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000195400
RTO,Rejected,Attempt 1,STLC8000191066
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003363361
RTO,Rejected,Attempt 2,STLC8000197051
RTO,Rejected,Attempt 2,STLC8000196655
RTO,Rejected,Attempt 2,STLC8000197053
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000195996
RTO,Rejected,Attempt 2,STLC8000195143
RTO,Rejected,Attempt 2,STLC8000196916
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 1,STLC8000196660
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196828
RTO,Rejected,Attempt 2,STLC8000197024
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197142
Exception,Rejected,Attempt 2,STLC8000196838
RTO,Rejected,Attempt 2,STLC8000196888
RTO,Rejected,Attempt 2,STLC8000197135
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196229
RTO,Rejected,Attempt 2,STLC8000196944
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000195860
RTO,Rejected,Attempt 1,STLC8000197374
RTO,Rejected,Attempt 2,STLC8000197296
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196555
RTO,Rejected,Attempt 1,STLC8000196791
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000197730
RTO,Rejected,Attempt 2,STLC8000197011
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197484
RTO,Rejected,Attempt 2,STLC8000197040
RTO,Rejected,Attempt 2,STLC8000196762
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194730
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197461
RTO,Rejected,Attempt 2,STLC8000196657
RTO,Rejected,Attempt 2,STLC8000195863
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196703
RTO,Rejected,Attempt 2,STLC8000197259
RTO,Rejected,Attempt 1,STLC8000196716
Delivered,Request for reschedule,Attempt 1,STLC8000196904
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000197405
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003362589
RTO,Rejected,Attempt 2,STLC8000197267
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196956
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196067
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000195216
RTO,Rejected,Attempt 1,STLC8000196797
RTO,Rejected,Attempt 2,STLC8000193752
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197234
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196705
RTO,Rejected,Attempt 2,STLC8000197397
RTO,Rejected,Attempt 2,STLC8000193393
Out For Delivery,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003364150
Out For Delivery,Customer Not Responding,Attempt 3,STLC8000196436
RTO,Rejected,Attempt 2,STLC8000197667
Exception,Rejected,Attempt 2,STLC8000197111
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197493
RTO,Rejected,Attempt 2,STLC8000193741
Delivered,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000197080
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197247
RTO,Rejected,Attempt 2,STLC8000196636
RTO,Rejected,Attempt 2,STLC8000196727
RTO,Rejected,Attempt 2,STLC8000196881
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000196113
RTO,Rejected,Attempt 2,STLC8000197114
RTO,Rejected,Attempt 2,STLC8000196211
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363642
RTO,Rejected,Attempt 2,STLC8000197311
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003362835
RTO,Rejected,Attempt 2,STLC8000196794
RTO,Rejected,Attempt 2,STLC8000197147
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364297
RTO,Rejected,Attempt 2,STLC8000197506
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000193955
RTO,Rejected,Attempt 2,STLC8000194246
RTO,Rejected,Attempt 2,STLC8000196092
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197110
Exception,Rejected,Attempt 2,STLC8000196391
RTO,Rejected,Attempt 2,STLC8000195744
RTO,Rejected,Attempt 2,STLC8000196575
RTO,Rejected,Attempt 2,STLC8000197385
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196758
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003363098
RTO,Rejected,Attempt 2,STLC8000193541
RTO,Rejected,Attempt 2,STLC8000196858
RTO,Rejected,Attempt 2,STLC8000196856
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196879
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196479
Exception,Request for reschedule,Attempt 3,STLC8000196519
Exception,Rejected,Attempt 2,STLC8000197809
RTO,Rejected,Attempt 2,STLC8000197454
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197215
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000195720
RTO,Rejected,Attempt 2,STLC8000197552
RTO,Rejected,Attempt 2,STLC8000196664
Exception,Rejected,Attempt 2,STLC8000191194
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197075
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196810
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 3,412003363360
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000195948
RTO,Rejected,Attempt 2,STLC8000196034
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196815
RTO,Rejected,Attempt 2,STLC8000196889
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000197105
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197862
RTO,Rejected,Attempt 2,STLC8000197018
RTO,Rejected,Attempt 2,STLC8000197221
RTO,Rejected,Attempt 1,STLC8000192015
Exception,Rejected,Attempt 2,STLC8000197370
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000195467
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003362305
RTO,Rejected,Attempt 2,STLC8000191786
RTO,Rejected,Attempt 2,STLC8000192367
RTO,Customer Not Responding,Attempt 3,STLC8000160808
Delivered,Request for reschedule,Attempt 1,STLC8000197280
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000188823
RTO,Rejected,Attempt 2,STLC8000194209
RTO,Rejected,Attempt 2,STLC8000196254
Exception,Rejected,Attempt 2,STLC8000197298
RTO,Rejected,Attempt 3,STLC8000197442
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194192
RTO,Unable to attempt delivery due to operational issues,Attempt 3,STLC8000197054
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196549
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000193341
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363951
RTO,Rejected,Attempt 2,STLC8000197544
RTO,Rejected,Attempt 2,STLC8000196854
RTO,Rejected,Attempt 2,STLC8000197085
Exception,210 - Shipment attempted - Customer refused to accept,Attempt 3,412003363552
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196100
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000196672
RTO,Rejected,Attempt 2,STLC8000197410
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196714
RTO,Rejected,Attempt 2,STLC8000195803
RTO,Rejected,Attempt 2,STLC8000195341
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000197108
RTO,Rejected,Attempt 2,STLC8000197109
RTO,Rejected,Attempt 2,STLC8000196845
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000181605
Exception,Undelivered. (Rescheduled to: __dd-mm-yy__),Attempt 3,STLC8000197608
RTO,Rejected,Attempt 2,STLC8000197395
RTO,Rejected,Attempt 2,STLC8000196972
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196021
RTO,Rejected,Attempt 2,STLC8000196580
RTO,Rejected,Attempt 2,STLC8000197539
RTO,Customer Not Responding,Attempt 3,STLC8000196936
Delivered,Request for reschedule,Attempt 1,STLC8000196578
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196507
Exception,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000197830
RTO,Rejected,Attempt 1,STLC8000196007
RTO,Rejected,Attempt 2,STLC8000197682
RTO,Rejected,Attempt 2,STLC8000197196
Exception,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000195334
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197305
RTO,Rejected,Attempt 2,STLC8000195103
RTO,Undelivered due to incomplete address,Attempt 3,STLC8000197251
RTO,Rejected,Attempt 2,STLC8000196748
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197129
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194099
RTO,Undelivered due to incomplete address,Attempt 2,STLC8000196865
Delivered,Delivery attempt failed(No response from customer),Attempt 2,STLC8000196880
Delivered,Request for reschedule,Attempt 1,STLC8000195780
RTO,Rejected,Attempt 2,STLC8000196431
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000196284
RTO,Rejected,Attempt 2,STLC8000197194
RTO,Rejected,Attempt 1,STLC8000197029
Out For Delivery,231 - Shipment attempted - Customer not available,Attempt 2,412003363439
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363961
RTO,Rejected,Attempt 2,STLC8000197520
